league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Italy - Serie A,26.84,,25.53,,29.21,,25.26,,23.68,,31.58,,25.0,,21.05,,21.84,,28.42,,22.37,,25.26,,25.79,,26.32,,29.47,,28.62,,
Italy - Serie B,29.65,,33.98,,28.57,,31.82,,31.39,,34.2,,29.0,,35.06,,34.42,,32.75,,26.84,,34.47,,30.79,,32.11,,32.11,,35.33,,
Italy - Serie C,,,,,,,,,,,,,,,,,,,,,33.33,,33.33,,20.0,,37.5,,37.5,,,,
Italy - Serie C - Girone A,,,,,,,32.72,,29.17,,30.0,,29.41,,27.63,,29.24,,30.47,,37.45,,30.0,,31.32,,28.42,,29.47,,27.81,,
Italy - Serie C - Girone B,,,,,,,28.33,,28.68,,31.84,,33.33,,29.74,,33.33,,38.42,,28.84,,30.53,,32.37,,31.58,,27.89,,30.0,,
Italy - Serie C - Girone C,,,,,,,,,,,31.84,,32.68,,30.53,,30.99,,26.61,,29.0,,28.07,,29.24,,28.95,,29.21,,34.11,,
Italy - Serie C2 - Girone A,,,,,,,27.78,,31.37,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Serie C2 - Girone B,,,,,,,31.37,,32.35,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
Japan - J League,,26.14,,24.51,,24.84,,22.22,,25.16,,25.49,,26.8,,23.86,,22.55,,23.53,,22.22,,24.74,,31.7,,25.49,,27.37,,29.31,
Japan - J League 2,,,,,,,,,,29.22,,29.44,,30.09,,26.41,,25.11,,25.76,,26.62,,29.65,,29.0,,28.14,,23.42,,26.0,
Japan - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,66.67,,0.0,,,
Kazakhstan - Super Liga,,,,,,,,31.06,,26.52,,27.27,,21.21,,22.73,,24.24,,18.69,,19.09,,26.92,,24.73,,25.27,,25.0,,42.86,
Kenya - Premier League,,,,,,,,,,34.58,,30.83,,35.42,,34.97,,28.43,33.33,,28.13,,28.68,,32.34,,26.97,,31.05,,36.28,,
Latvia - Virsliga,,17.04,,18.75,,25.0,,22.96,,16.11,,26.09,,22.32,,21.43,,14.29,,25.17,,18.52,,15.18,,17.78,,23.89,,18.33,,26.67,
